,Classifiers,Accuracy,Kappa,MAE,TP,TN,Precision,F-measure,AUC,Train,Testing,Accuracy_rank,Kappa_rank,MAE_rank,TP_rank,TN_rank,Precision_rank,F-measure_rank,AUC_rank,Train_rank,Testing_rank,vector_projections,pareto_domination,Rank
0,Bayes_net,0.847,0.6274,0.1723,0.8289,0.8308,0.8471,0.8333,0.8967,0.1251,0.0041,6.0,5.0,6.0,6.0,1.0,3.0,4.0,1.0,9.0,9.0,15.811388300841896,0,3
1,Naïve_Bayes,0.8093,0.543,0.1973,0.7951,0.7799,0.8085,0.7868,0.8732,0.0449,0.0072,10.0,9.0,9.0,12.0,6.0,8.0,9.0,3.0,5.0,11.0,25.930676813380714,0,8
2,Incremental_Naïve_Bayes,0.8093,0.543,0.1973,0.7951,0.7799,0.8085,0.7868,0.8732,0.0479,0.0085,10.0,9.0,9.0,12.0,6.0,8.0,9.0,3.0,7.0,12.0,26.87936011143123,0,9
3,IB1,0.8416,0.5874,0.153,0.8239,0.7664,0.8202,0.8193,0.7951,0.0054,11.3416,8.0,6.0,2.0,7.0,7.0,7.0,5.0,10.0,3.0,15.0,22.135943621178658,0,6
4,AdaBoost_M1,0.8641,0.6382,0.1439,0.8307,0.812,0.848,0.8344,0.8857,16.1057,0.0115,4.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,17.0,14.0,16.443843832875572,0,5
5,HyperPipes,0.6909,0.3141,0.4683,0.9717,0.3411,0.6792,0.7729,0.7019,0.0048,0.0016,15.0,15.0,16.0,1.0,16.0,15.0,10.0,15.0,2.0,6.0,35.10128202786901,0,12
6,VFI,0.7417,0.4762,0.386,0.7972,0.719,0.7683,0.7456,0.7907,0.0115,0.0061,14.0,11.0,14.0,11.0,11.0,13.0,13.0,11.0,4.0,10.0,35.41750979388585,0,13
7,Conjunctive_rule,0.781,0.3887,0.2787,0.7282,0.7084,0.7628,0.7322,0.7198,2.4281,0.0013,13.0,14.0,13.0,15.0,12.0,14.0,14.0,13.0,15.0,4.0,40.16092628413842,1,14
8,Decision_table,0.8576,0.5651,0.2086,0.7986,0.7543,0.7828,0.7875,0.8517,1.9513,0.0028,5.0,7.0,11.0,10.0,8.0,10.0,8.0,5.0,14.0,8.0,27.195587877448062,0,10
9,OneR,0.8068,0.4333,0.1921,0.7617,0.657,0.7764,0.7519,0.7094,0.0469,0.0014,11.0,12.0,8.0,13.0,14.0,12.0,12.0,14.0,6.0,5.0,33.83637096380166,0,11
10,PART,0.8746,0.6573,0.1543,0.8573,0.7948,0.8566,0.8518,0.8719,10.4043,0.0099,1.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,16.0,13.0,14.230249470757707,0,1
11,ZeroR,0.645,0.0,0.3979,0.5455,0.4545,0.3869,0.45,0.5,0.0014,0.001,16.0,16.0,15.0,16.0,15.0,16.0,15.0,16.0,1.0,2.0,40.47715405015526,0,15
12,Decision_stump,0.7913,0.4066,0.2664,0.7481,0.705,0.7799,0.7532,0.7889,0.0614,0.0007,12.0,13.0,12.0,14.0,13.0,11.0,11.0,12.0,8.0,1.0,33.83637096380166,0,11
13,C4.5,0.8654,0.6345,0.1646,0.8436,0.7825,0.843,0.8404,0.8516,0.9801,0.0016,3.0,4.0,5.0,3.0,5.0,5.0,2.0,6.0,12.0,6.0,16.127616066858735,0,4
14,Grafted_C4.5,0.8666,0.6354,0.1636,0.8427,0.7826,0.8441,0.8404,0.8509,1.4746,0.0013,2.0,3.0,4.0,4.0,4.0,4.0,2.0,7.0,13.0,4.0,14.862705002791383,0,2
15,Random_tree,0.8255,0.5388,0.1734,0.8134,0.7272,0.8021,0.8045,0.8009,0.1466,0.0017,9.0,10.0,7.0,9.0,9.0,9.0,7.0,9.0,10.0,7.0,27.195587877448062,0,10
16,REP_tree,0.8453,0.5548,0.2007,0.8184,0.7264,0.8215,0.8128,0.8197,0.156,0.0011,7.0,8.0,10.0,8.0,10.0,6.0,6.0,8.0,11.0,3.0,24.349537983296525,0,7
