,Classifiers,Accuracy,Kappa,MAE,TP,TN,Precision,F-measure,AUC,Train,Testing,Accuracy_rank,Kappa_rank,MAE_rank,TP_rank,TN_rank,Precision_rank,F-measure_rank,AUC_rank,Train_rank,Testing_rank,vector_projections,pareto_domination,Rank
0,Bayes_net,0.7892,0.451,0.238,0.9483,0.4501,0.7862,0.8597,0.855,0.5365,0.0139,9.0,9.0,8.0,4.0,11.0,10.0,9.0,7.0,9.0,7.0,26.208169367449543,0,9
1,Naïve_Bayes,0.7444,0.3303,0.2625,0.9197,0.3704,0.757,0.8304,0.7568,0.1563,0.0203,10.0,12.0,10.0,11.0,12.0,12.0,10.0,10.0,6.0,9.0,32.48504080505664,0,12
2,Incremental_Naïve_Bayes,0.7444,0.3303,0.2625,0.9197,0.3704,0.757,0.8304,0.7568,0.1688,0.0234,10.0,12.0,10.0,11.0,12.0,12.0,10.0,10.0,7.0,10.0,33.02050851063449,0,13
3,IB1,0.8178,0.5692,0.1822,0.8897,0.6644,0.8498,0.8693,0.777,0.0109,23.0875,8.0,8.0,3.0,12.0,8.0,8.0,8.0,9.0,2.0,12.0,24.691010868312283,0,8
4,AdaBoost_M1,0.8694,0.6915,0.1289,0.9273,0.746,0.8862,0.9063,0.9133,57.1016,0.05,1.0,1.0,1.0,8.0,3.0,2.0,1.0,1.0,17.0,11.0,13.386692639446418,0,1
5,HyperPipes,0.6953,0.0624,0.4995,0.9989,0.0477,0.6911,0.817,0.5238,0.0125,0.0047,15.0,15.0,16.0,2.0,14.0,14.0,12.0,15.0,3.0,3.0,35.31112036227311,0,17
6,VFI,0.6956,0.064,0.496,0.9988,0.0491,0.6913,0.8171,0.5259,0.0313,0.0156,14.0,14.0,15.0,3.0,13.0,13.0,11.0,14.0,4.0,8.0,34.954141891887865,0,15
7,Conjunctive_rule,0.7269,0.444,0.337,0.6848,0.8167,0.8888,0.7733,0.7508,23.2016,0.0031,11.0,10.0,12.0,16.0,1.0,1.0,15.0,11.0,16.0,2.0,30.015939718225415,0,10
8,Decision_table,0.8337,0.5917,0.2441,0.9334,0.6211,0.8402,0.8843,0.8782,4.7797,0.0109,6.0,7.0,9.0,5.0,9.0,9.0,6.0,3.0,14.0,6.0,23.02511133984784,0,7
9,OneR,0.7181,0.3248,0.2819,0.8279,0.484,0.7739,0.7999,0.656,0.1547,0.0047,12.0,13.0,11.0,14.0,10.0,11.0,14.0,13.0,5.0,3.0,34.210436745251954,0,14
10,PART,0.8545,0.6519,0.1952,0.9269,0.7001,0.8689,0.8965,0.8995,7.0563,0.0094,5.0,5.0,7.0,9.0,7.0,6.0,5.0,2.0,15.0,5.0,20.407269223689426,0,5
11,ZeroR,0.6808,0.0,0.4347,1.0,0.0,0.6808,0.8101,0.5,0.0047,0.0016,16.0,16.0,14.0,1.0,15.0,15.0,13.0,16.0,1.0,1.0,35.221875744676794,0,16
12,Decision_stump,0.717,0.4112,0.3556,0.6989,0.7557,0.8592,0.7708,0.7273,0.2531,0.0016,13.0,11.0,13.0,15.0,2.0,7.0,16.0,12.0,8.0,1.0,31.53309821736267,0,11
13,C4.5,0.8566,0.6579,0.1894,0.9261,0.7083,0.8714,0.8978,0.8667,2.7203,0.0063,3.0,3.0,5.0,10.0,5.0,5.0,4.0,6.0,12.0,4.0,17.700182489934708,0,4
14,Grafted_C4.5,0.8591,0.6631,0.1874,0.9298,0.7083,0.8718,0.8998,0.8679,3.8156,0.0031,2.0,2.0,4.0,6.0,5.0,4.0,2.0,5.0,13.0,2.0,13.832915727427965,0,2
15,Random_tree,0.8259,0.6003,0.1741,0.8703,0.7313,0.8736,0.8719,0.8008,0.9109,0.0094,7.0,6.0,2.0,13.0,4.0,3.0,7.0,8.0,11.0,5.0,20.64525487061292,0,6
16,REP_tree,0.8563,0.6558,0.1948,0.9292,0.7008,0.8689,0.898,0.8762,0.7813,0.0031,4.0,4.0,6.0,7.0,6.0,6.0,3.0,4.0,10.0,2.0,16.302016814259193,0,3
